ISBN,Month,Year,In-Person Sales,Online Sales,Wholesale Sales,Total Sales,Average Price,Total Revenue,Returns,Net Sales
9780316089517,Jan,2025,92,94,35,221,$24.52,"$5,418.99",7,214
9781846057885,Jan,2025,75,102,32,209,$16.08,"$3,361.25",6,203
9780316159784,Jan,2025,50,71,22,143,$14.60,"$2,087.44",3,140
9780316036986,Jan,2025,22,26,9,57,$11.62,$662.10,2,55
9780747266921,Jan,2025,83,104,34,221,$19.55,"$4,321.00",8,213
9780099544036,Jan,2025,41,58,13,112,$11.53,"$1,290.90",4,108
9780446696586,Jan,2025,63,81,36,180,$11.50,"$2,070.50",7,173
9781846054723,Jan,2025,27,36,10,73,$17.38,"$1,268.44",1,72
9780316420273,Jan,2025,65,61,28,154,$17.42,"$2,682.75",7,147
9780316120555,Jan,2025,47,58,15,120,$13.82,"$1,658.19",5,115
9780446611213,Jan,2025,28,49,9,86,$15.59,"$1,340.48",2,84
9780446696616,Jan,2025,23,37,12,72,$23.90,"$1,720.79",2,70
9780446619035,Jan,2025,45,56,17,118,$15.44,"$1,822.17",2,116
9780316070621,Jan,2025,56,93,18,167,$14.00,"$2,338.19",4,163
9780316274029,Jan,2025,48,48,13,109,$21.29,"$2,321.06",3,106
9780316117364,Jan,2025,27,30,9,66,$23.91,"$1,577.79",3,63
9780316211178,Jan,2025,46,51,16,113,$23.60,"$2,667.00",5,108
9780316207560,Jan,2025,32,50,17,99,$23.74,"$2,350.63",3,96
9780446692656,Jan,2025,36,31,9,76,$17.29,"$1,313.68",2,74
9780755300204,Jan,2025,31,28,12,71,$15.36,"$1,090.61",1,70
9780446613361,Jan,2025,85,113,20,218,$20.31,"$4,426.90",8,210
9780316002929,Jan,2025,50,57,20,127,$11.77,"$1,494.52",5,122
9780316024754,Jan,2025,62,90,31,183,$23.71,"$4,338.65",8,175
9780316036184,Jan,2025,27,34,12,73,$20.87,"$1,523.29",2,71
9780446610223,Jan,2025,45,48,11,104,$13.71,"$1,426.35",3,101
9780446613354,Jan,2025,30,47,10,87,$15.15,"$1,317.91",3,84
9780446692632,Jan,2025,72,66,27,165,$20.55,"$3,391.01",7,158
9780316405348,Jan,2025,32,39,10,81,$18.30,"$1,482.25",2,79
9780446603928,Jan,2025,50,51,15,116,$21.11,"$2,449.10",4,112
9780446696630,Jan,2025,42,59,13,114,$23.11,"$2,634.95",3,111
9780316024648,Jan,2025,77,114,23,214,$13.23,"$2,831.95",6,208
9780316097390,Jan,2025,24,33,8,65,$13.70,$890.22,2,63
9780316096157,Jan,2025,92,92,24,208,$16.63,"$3,458.72",8,200
9780446545242,Jan,2025,80,81,25,186,$17.28,"$3,214.01",4,182
9780316101875,Jan,2025,26,30,7,63,$12.84,$808.87,1,62
9781585004782,Jan,2025,16,24,9,49,$21.31,"$1,044.05",1,48
9780316014793,Jan,2025,55,101,21,177,$17.47,"$3,092.10",6,171
9780316431316,Jan,2025,22,28,11,61,$12.30,$750.60,1,60
9780316523967,Jan,2025,30,40,18,88,$12.07,"$1,061.78",3,85
9780316101844,Jan,2025,38,46,10,94,$15.11,"$1,420.37",3,91
9780446609401,Jan,2025,62,56,21,139,$17.77,"$2,469.57",5,134
9780316018784,Jan,2025,41,61,19,121,$23.28,"$2,816.75",3,118
9780316014779,Jan,2025,27,42,14,83,$19.24,"$1,596.96",2,81
9780316097468,Jan,2025,20,25,7,52,$12.43,$646.22,1,51
9780316159791,Jan,2025,79,81,33,193,$16.63,"$3,210.04",6,187
9780316128520,Jan,2025,81,83,31,195,$21.31,"$4,154.59",5,190
9780316036191,Jan,2025,34,34,7,75,$18.92,"$1,419.16",2,73
9780316018746,Jan,2025,35,49,12,96,$13.85,"$1,329.14",4,92
9780316206938,Jan,2025,66,63,14,143,$16.70,"$2,388.45",3,140
9780316018708,Jan,2025,58,74,24,156,$13.12,"$2,046.56",7,149
9780316013932,Jan,2025,20,22,5,47,$14.65,$688.42,2,45
9780446617796,Jan,2025,59,96,30,185,$18.99,"$3,513.47",8,177
9781846058295,Jan,2025,47,87,30,164,$13.13,"$2,153.57",7,157
9780316101912,Jan,2025,19,25,7,51,$12.44,$634.29,1,50
9780446605489,Jan,2025,19,24,7,50,$11.50,$574.77,2,48
9780316002868,Jan,2025,33,44,15,92,$12.89,"$1,185.76",2,90
9780316017701,Jan,2025,40,40,14,94,$19.21,"$1,805.47",2,92
9781780895215,Jan,2025,23,28,7,58,$19.34,"$1,121.89",2,56
9780446608817,Jan,2025,74,81,30,185,$13.93,"$2,576.79",4,181
9780316014502,Jan,2025,65,72,26,163,$12.98,"$2,115.53",3,160
9780316002899,Jan,2025,50,61,14,125,$22.34,"$2,792.02",3,122
9780446612548,Jan,2025,92,116,20,228,$12.85,"$2,930.78",9,219
